,mean,sd,hdi_3%,hdi_97%
chol[565],0.001,0.036,-0.069,0.069
chol[566],0.021,0.036,-0.055,0.084
chol[567],-0.015,0.036,-0.077,0.06
chol[568],-0.02,0.037,-0.089,0.046
chol[569],-0.019,0.041,-0.093,0.051
chol[570],-0.013,0.036,-0.095,0.043
chol[571],-0.004,0.042,-0.086,0.076
chol[572],-0.002,0.035,-0.073,0.061
chol[573],-0.043,0.034,-0.111,0.021
chol[574],-0.02,0.039,-0.088,0.064
chol[575],-0.027,0.035,-0.096,0.037
chol[576],-0.001,0.034,-0.064,0.066
chol[577],-0.01,0.034,-0.075,0.051
chol[578],-0.068,0.034,-0.133,-0.004
chol[579],0.003,0.035,-0.063,0.064
chol[580],0.02,0.034,-0.047,0.079
chol[581],-0.002,0.036,-0.064,0.072
chol[582],-0.003,0.033,-0.071,0.053
chol[583],-0.003,0.034,-0.062,0.067
chol[584],-0.022,0.035,-0.089,0.038
chol[585],-0.008,0.037,-0.077,0.056
chol[586],-0.003,0.033,-0.063,0.062
chol[587],-0.011,0.039,-0.084,0.065
chol[588],-0.015,0.032,-0.08,0.041
chol[589],-0.003,0.035,-0.076,0.056
chol[590],0.015,0.035,-0.049,0.08
chol[591],0.012,0.032,-0.05,0.071
chol[592],-0.019,0.034,-0.089,0.045
chol[593],0.002,0.033,-0.064,0.059
chol[594],0.107,0.025,0.062,0.156
chol[595],-0.001,0.009,-0.022,0.015
chol[596],0.0,0.009,-0.017,0.015
chol[597],0.001,0.008,-0.014,0.018
chol[598],-0.0,0.009,-0.016,0.016
chol[599],0.0,0.009,-0.016,0.016
chol[600],0.001,0.009,-0.016,0.018
chol[601],0.001,0.009,-0.014,0.02
chol[602],0.0,0.009,-0.017,0.019
chol[603],-0.002,0.009,-0.019,0.014
chol[604],-0.001,0.009,-0.019,0.017
chol[605],-0.0,0.009,-0.019,0.015
chol[606],-0.0,0.009,-0.02,0.015
chol[607],-0.003,0.01,-0.021,0.016
chol[608],0.0,0.01,-0.017,0.022
chol[609],-0.001,0.009,-0.019,0.014
chol[610],-0.001,0.009,-0.016,0.017
chol[611],-0.001,0.01,-0.019,0.016
chol[612],0.0,0.009,-0.016,0.018
chol[613],-0.002,0.01,-0.025,0.013
chol[614],-0.001,0.01,-0.021,0.016
chol[615],0.001,0.009,-0.015,0.021
chol[616],0.0,0.009,-0.017,0.018
chol[617],-0.002,0.009,-0.02,0.016
chol[618],-0.001,0.008,-0.018,0.014
chol[619],0.0,0.009,-0.017,0.016
chol[620],-0.002,0.01,-0.024,0.013
chol[621],0.0,0.009,-0.017,0.016
chol[622],0.0,0.008,-0.018,0.016
chol[623],0.001,0.009,-0.016,0.018
chol[624],0.001,0.008,-0.015,0.017
chol[625],0.001,0.009,-0.018,0.016
chol[626],-0.001,0.01,-0.022,0.014
chol[627],0.001,0.009,-0.015,0.018
chol[628],-0.002,0.01,-0.022,0.014
chol[629],0.022,0.015,0.0,0.05
chol[630],-0.001,0.012,-0.027,0.021
chol[631],0.002,0.011,-0.019,0.027
chol[632],-0.003,0.011,-0.023,0.02
chol[633],0.001,0.011,-0.02,0.024
chol[634],-0.001,0.011,-0.024,0.021
chol[635],0.004,0.012,-0.015,0.031
chol[636],-0.004,0.011,-0.027,0.016
chol[637],0.006,0.013,-0.016,0.034
chol[638],-0.0,0.011,-0.021,0.025
chol[639],-0.001,0.011,-0.025,0.018
chol[640],0.0,0.012,-0.026,0.025
chol[641],-0.0,0.012,-0.022,0.024
chol[642],0.005,0.012,-0.015,0.03
chol[643],-0.001,0.012,-0.027,0.022
chol[644],-0.0,0.012,-0.023,0.023
chol[645],-0.0,0.011,-0.024,0.021
chol[646],0.001,0.012,-0.023,0.023
chol[647],0.003,0.011,-0.019,0.025
chol[648],-0.001,0.012,-0.025,0.022
chol[649],-0.002,0.011,-0.027,0.018
chol[650],0.001,0.011,-0.019,0.025
chol[651],-0.001,0.012,-0.026,0.024
chol[652],-0.001,0.011,-0.027,0.018
chol[653],-0.002,0.012,-0.026,0.02
chol[654],-0.0,0.011,-0.025,0.022
chol[655],0.001,0.012,-0.02,0.026
chol[656],0.001,0.011,-0.021,0.026
chol[657],-0.004,0.012,-0.032,0.017
chol[658],0.001,0.012,-0.02,0.027
chol[659],0.0,0.012,-0.027,0.021
chol[660],-0.002,0.013,-0.029,0.019
chol[661],-0.001,0.011,-0.025,0.02
chol[662],0.0,0.011,-0.023,0.023
chol[663],-0.004,0.012,-0.029,0.017
chol[664],-0.0,0.012,-0.025,0.023
chol[665],0.026,0.017,0.001,0.055
chol[666],-0.005,0.015,-0.037,0.022
chol[667],0.002,0.012,-0.021,0.027
chol[668],-0.004,0.012,-0.03,0.018
chol[669],0.001,0.013,-0.023,0.027
chol[670],-0.001,0.012,-0.027,0.02
chol[671],0.0,0.012,-0.022,0.027
chol[672],-0.007,0.013,-0.035,0.014
chol[673],0.006,0.012,-0.014,0.031
chol[674],0.002,0.012,-0.021,0.025
chol[675],-0.004,0.011,-0.023,0.017
chol[676],-0.001,0.012,-0.026,0.023
chol[677],0.001,0.013,-0.025,0.024
chol[678],-0.003,0.011,-0.025,0.019
chol[679],0.007,0.016,-0.019,0.04
chol[680],0.003,0.011,-0.018,0.027
chol[681],-0.001,0.012,-0.023,0.022
chol[682],-0.001,0.011,-0.022,0.019
chol[683],0.008,0.014,-0.017,0.038
chol[684],-0.001,0.012,-0.024,0.024
chol[685],-0.004,0.012,-0.026,0.02
chol[686],0.001,0.014,-0.026,0.028
chol[687],0.001,0.012,-0.021,0.028
chol[688],-0.001,0.013,-0.03,0.021
chol[689],0.003,0.012,-0.021,0.026
chol[690],-0.001,0.013,-0.027,0.026
chol[691],0.004,0.012,-0.019,0.025
chol[692],-0.002,0.011,-0.024,0.019
chol[693],0.002,0.013,-0.022,0.028
chol[694],0.001,0.012,-0.021,0.025
chol[695],-0.003,0.012,-0.026,0.019
chol[696],-0.005,0.014,-0.036,0.02
chol[697],0.008,0.014,-0.018,0.034
chol[698],-0.005,0.014,-0.032,0.023
chol[699],-0.004,0.011,-0.026,0.018
chol[700],0.003,0.013,-0.024,0.027
chol[701],0.003,0.013,-0.016,0.034
chol[702],0.03,0.014,0.0,0.051
chol[703],-0.002,0.012,-0.027,0.021
chol[704],0.001,0.013,-0.024,0.027
chol[705],-0.009,0.014,-0.037,0.014
chol[706],0.001,0.013,-0.025,0.027
chol[707],-0.002,0.013,-0.028,0.024
chol[708],0.008,0.013,-0.015,0.033
chol[709],-0.007,0.012,-0.031,0.017
chol[710],0.002,0.013,-0.022,0.025
chol[711],-0.001,0.013,-0.026,0.023
chol[712],-0.009,0.013,-0.034,0.014
chol[713],0.001,0.013,-0.026,0.023
chol[714],-0.0,0.013,-0.028,0.023
chol[715],-0.003,0.013,-0.025,0.022
chol[716],-0.0,0.013,-0.025,0.024
chol[717],-0.001,0.013,-0.028,0.022
chol[718],-0.004,0.013,-0.026,0.021
chol[719],-0.003,0.012,-0.027,0.021
chol[720],0.001,0.012,-0.023,0.025
chol[721],-0.0,0.012,-0.023,0.022
chol[722],-0.002,0.013,-0.027,0.02
chol[723],0.001,0.013,-0.023,0.026
chol[724],0.0,0.013,-0.027,0.024
chol[725],-0.001,0.013,-0.025,0.024
chol[726],-0.002,0.013,-0.033,0.021
chol[727],-0.002,0.013,-0.026,0.023
chol[728],-0.001,0.013,-0.025,0.023
chol[729],-0.002,0.013,-0.028,0.022
chol[730],-0.001,0.015,-0.031,0.028
chol[731],0.0,0.013,-0.024,0.024
chol[732],-0.004,0.012,-0.028,0.02
chol[733],-0.003,0.013,-0.024,0.028
chol[734],-0.001,0.012,-0.023,0.024
chol[735],-0.0,0.013,-0.026,0.022
chol[736],-0.004,0.013,-0.03,0.019
chol[737],-0.001,0.012,-0.026,0.022
chol[738],0.002,0.012,-0.022,0.025
chol[739],-0.001,0.013,-0.024,0.025
chol[740],0.028,0.013,0.006,0.051
chol[741],0.0,0.008,-0.014,0.015
chol[742],-0.0,0.008,-0.015,0.015
chol[743],-0.003,0.009,-0.022,0.014
chol[744],-0.001,0.008,-0.017,0.014
chol[745],0.001,0.008,-0.016,0.018
chol[746],-0.0,0.008,-0.018,0.013
chol[747],-0.003,0.008,-0.02,0.012
chol[748],-0.002,0.008,-0.017,0.013
chol[749],0.0,0.008,-0.016,0.014
chol[750],-0.003,0.008,-0.02,0.011
chol[751],0.001,0.008,-0.014,0.02
chol[752],0.002,0.01,-0.018,0.024
chol[753],0.002,0.01,-0.013,0.028
chol[754],-0.001,0.008,-0.016,0.018
chol[755],-0.0,0.008,-0.015,0.016
chol[756],0.001,0.007,-0.012,0.017
chol[757],0.001,0.008,-0.013,0.019
chol[758],-0.002,0.008,-0.016,0.013
chol[759],0.001,0.007,-0.013,0.016
chol[760],0.004,0.01,-0.01,0.029
chol[761],0.001,0.008,-0.014,0.017
chol[762],-0.003,0.009,-0.02,0.012
chol[763],-0.001,0.009,-0.019,0.015
chol[764],-0.0,0.008,-0.017,0.015
chol[765],0.001,0.008,-0.014,0.017
chol[766],0.0,0.008,-0.019,0.014
chol[767],0.0,0.007,-0.015,0.015
chol[768],0.001,0.008,-0.012,0.019
chol[769],0.003,0.009,-0.012,0.022
chol[770],-0.0,0.008,-0.016,0.016
chol[771],-0.005,0.01,-0.027,0.009
chol[772],0.002,0.009,-0.013,0.025
chol[773],-0.001,0.007,-0.016,0.013
chol[774],-0.002,0.009,-0.017,0.016
chol[775],0.002,0.008,-0.014,0.015
chol[776],-0.002,0.008,-0.017,0.013
chol[777],-0.001,0.007,-0.014,0.014
chol[778],0.004,0.011,-0.017,0.028
chol[779],0.015,0.01,0.0,0.033
chol[780],0.006,0.029,-0.043,0.064
chol[781],0.0,0.028,-0.055,0.052
chol[782],0.009,0.027,-0.04,0.06
chol[783],0.009,0.029,-0.048,0.061
chol[784],0.009,0.03,-0.041,0.068
chol[785],-0.011,0.031,-0.066,0.051
chol[786],0.007,0.026,-0.042,0.057
chol[787],-0.008,0.028,-0.053,0.054
chol[788],-0.004,0.03,-0.062,0.051
chol[789],0.008,0.028,-0.047,0.054
chol[790],-0.004,0.029,-0.055,0.054
chol[791],-0.001,0.029,-0.059,0.051
chol[792],-0.012,0.027,-0.061,0.038
chol[793],-0.007,0.03,-0.063,0.047
chol[794],-0.018,0.028,-0.069,0.034
chol[795],0.004,0.03,-0.057,0.054
chol[796],-0.011,0.029,-0.066,0.042
chol[797],-0.025,0.026,-0.08,0.021
chol[798],0.011,0.031,-0.049,0.064
chol[799],0.021,0.03,-0.031,0.079
chol[800],0.003,0.028,-0.05,0.056
chol[801],-0.005,0.032,-0.068,0.052
chol[802],0.003,0.029,-0.047,0.061
chol[803],0.001,0.028,-0.049,0.054
chol[804],0.001,0.028,-0.053,0.054
chol[805],-0.01,0.029,-0.062,0.044
chol[806],-0.0,0.031,-0.058,0.056
chol[807],-0.007,0.028,-0.064,0.039
chol[808],-0.005,0.029,-0.06,0.052
chol[809],0.009,0.03,-0.05,0.062
chol[810],0.015,0.03,-0.034,0.072
chol[811],-0.002,0.029,-0.054,0.049
chol[812],-0.003,0.028,-0.052,0.052
chol[813],0.007,0.027,-0.04,0.061
chol[814],0.006,0.029,-0.046,0.064
chol[815],-0.002,0.028,-0.052,0.054
chol[816],0.003,0.028,-0.052,0.056
chol[817],-0.007,0.035,-0.07,0.06
chol[818],0.002,0.028,-0.054,0.052
chol[819],0.054,0.022,0.018,0.096
"chol_corr[0, 0]",1.0,0.0,1.0,1.0
"chol_corr[0, 1]",0.006,0.151,-0.285,0.268
"chol_corr[0, 2]",-0.047,0.168,-0.365,0.248
"chol_corr[0, 3]",-0.003,0.155,-0.282,0.287
"chol_corr[0, 4]",-0.006,0.144,-0.262,0.26
"chol_corr[0, 5]",-0.003,0.144,-0.26,0.259
"chol_corr[0, 6]",-0.049,0.168,-0.369,0.231
"chol_corr[0, 7]",0.024,0.158,-0.252,0.335
"chol_corr[0, 8]",-0.011,0.14,-0.264,0.258
"chol_corr[0, 9]",0.026,0.148,-0.247,0.29
"chol_corr[0, 10]",0.007,0.147,-0.274,0.263
"chol_corr[0, 11]",-0.003,0.141,-0.26,0.262
"chol_corr[0, 12]",-0.025,0.145,-0.284,0.254
"chol_corr[0, 13]",-0.036,0.154,-0.301,0.258
"chol_corr[0, 14]",-0.029,0.151,-0.293,0.255
"chol_corr[0, 15]",0.01,0.148,-0.287,0.265
"chol_corr[0, 16]",0.039,0.164,-0.251,0.334
"chol_corr[0, 17]",-0.063,0.144,-0.319,0.218
"chol_corr[0, 18]",-0.003,0.148,-0.273,0.265
"chol_corr[0, 19]",0.032,0.138,-0.234,0.279
"chol_corr[0, 20]",0.002,0.157,-0.268,0.306
"chol_corr[0, 21]",0.024,0.147,-0.275,0.266
"chol_corr[0, 22]",0.029,0.163,-0.273,0.332
"chol_corr[0, 23]",-0.036,0.149,-0.319,0.239
"chol_corr[0, 24]",-0.012,0.15,-0.299,0.253
"chol_corr[0, 25]",-0.014,0.164,-0.358,0.288
"chol_corr[0, 26]",-0.004,0.145,-0.262,0.27
"chol_corr[0, 27]",0.003,0.143,-0.265,0.26
"chol_corr[0, 28]",-0.025,0.144,-0.286,0.251
"chol_corr[0, 29]",0.029,0.14,-0.229,0.304
"chol_corr[0, 30]",-0.002,0.149,-0.286,0.273
"chol_corr[0, 31]",-0.016,0.143,-0.292,0.228
"chol_corr[0, 32]",0.044,0.16,-0.273,0.319
"chol_corr[0, 33]",0.058,0.152,-0.233,0.325
"chol_corr[0, 34]",-0.019,0.161,-0.331,0.269
"chol_corr[0, 35]",-0.011,0.153,-0.301,0.276
"chol_corr[0, 36]",-0.043,0.168,-0.394,0.241
"chol_corr[0, 37]",-0.024,0.14,-0.28,0.252
"chol_corr[0, 38]",0.006,0.141,-0.245,0.288
"chol_corr[0, 39]",0.032,0.146,-0.231,0.315
"chol_corr[1, 0]",0.006,0.151,-0.285,0.268
"chol_corr[1, 1]",1.0,0.0,1.0,1.0
"chol_corr[1, 2]",0.003,0.141,-0.287,0.244
"chol_corr[1, 3]",0.025,0.157,-0.269,0.305
"chol_corr[1, 4]",-0.016,0.145,-0.273,0.257
"chol_corr[1, 5]",0.071,0.148,-0.191,0.345
"chol_corr[1, 6]",-0.052,0.146,-0.325,0.219
"chol_corr[1, 7]",0.011,0.146,-0.262,0.284
"chol_corr[1, 8]",0.001,0.143,-0.26,0.264
"chol_corr[1, 9]",-0.034,0.139,-0.3,0.232
"chol_corr[1, 10]",0.003,0.149,-0.283,0.267
"chol_corr[1, 11]",-0.004,0.165,-0.31,0.282
"chol_corr[1, 12]",0.04,0.157,-0.231,0.368
"chol_corr[1, 13]",0.011,0.149,-0.267,0.298
"chol_corr[1, 14]",0.002,0.144,-0.278,0.247
"chol_corr[1, 15]",-0.027,0.153,-0.312,0.251
"chol_corr[1, 16]",0.04,0.146,-0.251,0.282
"chol_corr[1, 17]",-0.015,0.152,-0.28,0.28
"chol_corr[1, 18]",-0.012,0.153,-0.321,0.255
"chol_corr[1, 19]",0.015,0.15,-0.277,0.296
"chol_corr[1, 20]",0.007,0.152,-0.266,0.295
"chol_corr[1, 21]",0.052,0.177,-0.244,0.391
"chol_corr[1, 22]",-0.018,0.144,-0.281,0.246
"chol_corr[1, 23]",-0.017,0.149,-0.299,0.252
"chol_corr[1, 24]",0.006,0.146,-0.277,0.276
"chol_corr[1, 25]",-0.022,0.148,-0.3,0.257
"chol_corr[1, 26]",0.004,0.141,-0.253,0.266
"chol_corr[1, 27]",-0.047,0.151,-0.311,0.246
"chol_corr[1, 28]",0.016,0.15,-0.273,0.284
"chol_corr[1, 29]",0.029,0.162,-0.254,0.32
"chol_corr[1, 30]",0.018,0.149,-0.284,0.286
"chol_corr[1, 31]",0.002,0.159,-0.291,0.314
"chol_corr[1, 32]",-0.008,0.151,-0.321,0.239
"chol_corr[1, 33]",0.012,0.135,-0.253,0.245
"chol_corr[1, 34]",-0.001,0.146,-0.262,0.278
"chol_corr[1, 35]",0.029,0.153,-0.252,0.322
"chol_corr[1, 36]",0.014,0.145,-0.243,0.296
"chol_corr[1, 37]",0.001,0.152,-0.281,0.287
"chol_corr[1, 38]",-0.001,0.142,-0.243,0.292
"chol_corr[1, 39]",0.002,0.139,-0.263,0.267
"chol_corr[2, 0]",-0.047,0.168,-0.365,0.248
"chol_corr[2, 1]",0.003,0.141,-0.287,0.244
"chol_corr[2, 2]",1.0,0.0,1.0,1.0
"chol_corr[2, 3]",-0.019,0.159,-0.339,0.262
"chol_corr[2, 4]",0.004,0.152,-0.263,0.288
"chol_corr[2, 5]",-0.133,0.156,-0.416,0.144
"chol_corr[2, 6]",0.142,0.145,-0.12,0.41
"chol_corr[2, 7]",-0.027,0.145,-0.274,0.259
"chol_corr[2, 8]",0.009,0.153,-0.27,0.294
"chol_corr[2, 9]",0.089,0.133,-0.153,0.348
"chol_corr[2, 10]",0.01,0.151,-0.258,0.299
"chol_corr[2, 11]",-0.009,0.141,-0.285,0.246
"chol_corr[2, 12]",-0.101,0.145,-0.385,0.163
"chol_corr[2, 13]",-0.034,0.148,-0.314,0.226
"chol_corr[2, 14]",-0.005,0.146,-0.278,0.267
"chol_corr[2, 15]",0.084,0.14,-0.169,0.343
"chol_corr[2, 16]",0.015,0.154,-0.251,0.306
"chol_corr[2, 17]",0.014,0.144,-0.272,0.285
"chol_corr[2, 18]",0.024,0.165,-0.256,0.363
"chol_corr[2, 19]",0.044,0.151,-0.233,0.333
"chol_corr[2, 20]",0.005,0.153,-0.283,0.288
"chol_corr[2, 21]",0.015,0.145,-0.27,0.271
"chol_corr[2, 22]",0.039,0.151,-0.224,0.326
"chol_corr[2, 23]",0.066,0.143,-0.199,0.322
"chol_corr[2, 24]",0.007,0.15,-0.284,0.278
"chol_corr[2, 25]",-0.015,0.146,-0.311,0.231
"chol_corr[2, 26]",0.007,0.146,-0.261,0.278
"chol_corr[2, 27]",0.105,0.14,-0.173,0.35
"chol_corr[2, 28]",0.03,0.158,-0.258,0.323
"chol_corr[2, 29]",0.059,0.138,-0.197,0.307
"chol_corr[2, 30]",0.021,0.155,-0.246,0.297
"chol_corr[2, 31]",0.05,0.14,-0.22,0.304
"chol_corr[2, 32]",0.05,0.157,-0.206,0.336
"chol_corr[2, 33]",-0.032,0.155,-0.313,0.272
"chol_corr[2, 34]",0.016,0.151,-0.243,0.324
"chol_corr[2, 35]",-0.037,0.148,-0.299,0.241
"chol_corr[2, 36]",-0.035,0.147,-0.324,0.203
"chol_corr[2, 37]",-0.108,0.157,-0.41,0.174
"chol_corr[2, 38]",-0.036,0.152,-0.339,0.243
"chol_corr[2, 39]",0.047,0.141,-0.211,0.307
"chol_corr[3, 0]",-0.003,0.155,-0.282,0.287
"chol_corr[3, 1]",0.025,0.157,-0.269,0.305
"chol_corr[3, 2]",-0.019,0.159,-0.339,0.262
"chol_corr[3, 3]",1.0,0.0,1.0,1.0
"chol_corr[3, 4]",-0.007,0.154,-0.306,0.274
"chol_corr[3, 5]",0.013,0.141,-0.259,0.269
"chol_corr[3, 6]",-0.065,0.143,-0.343,0.213
"chol_corr[3, 7]",0.018,0.156,-0.276,0.293
"chol_corr[3, 8]",-0.01,0.157,-0.307,0.255
"chol_corr[3, 9]",0.004,0.145,-0.241,0.297
"chol_corr[3, 10]",0.003,0.152,-0.29,0.276
"chol_corr[3, 11]",-0.013,0.145,-0.263,0.272
"chol_corr[3, 12]",-0.039,0.149,-0.293,0.268
"chol_corr[3, 13]",-0.01,0.137,-0.255,0.254
"chol_corr[3, 14]",-0.032,0.148,-0.32,0.229
"chol_corr[3, 15]",-0.013,0.151,-0.291,0.267
"chol_corr[3, 16]",-0.025,0.144,-0.292,0.234
"chol_corr[3, 17]",-0.042,0.14,-0.309,0.223
"chol_corr[3, 18]",0.002,0.148,-0.268,0.281
"chol_corr[3, 19]",0.013,0.15,-0.292,0.267
"chol_corr[3, 20]",-0.004,0.147,-0.278,0.269
"chol_corr[3, 21]",-0.02,0.144,-0.284,0.265
"chol_corr[3, 22]",0.012,0.178,-0.315,0.339
"chol_corr[3, 23]",-0.041,0.156,-0.304,0.256
"chol_corr[3, 24]",0.005,0.149,-0.279,0.281
"chol_corr[3, 25]",0.021,0.157,-0.292,0.31
"chol_corr[3, 26]",-0.019,0.167,-0.326,0.255
"chol_corr[3, 27]",0.004,0.153,-0.273,0.287
"chol_corr[3, 28]",-0.001,0.139,-0.293,0.226
"chol_corr[3, 29]",0.003,0.139,-0.248,0.276
"chol_corr[3, 30]",0.038,0.149,-0.256,0.305
"chol_corr[3, 31]",-0.009,0.155,-0.296,0.266
"chol_corr[3, 32]",-0.01,0.142,-0.281,0.253
"chol_corr[3, 33]",0.036,0.142,-0.219,0.291
"chol_corr[3, 34]",-0.01,0.143,-0.273,0.265
"chol_corr[3, 35]",0.015,0.146,-0.265,0.291
"chol_corr[3, 36]",-0.002,0.152,-0.269,0.275
"chol_corr[3, 37]",0.013,0.15,-0.257,0.303
"chol_corr[3, 38]",-0.023,0.156,-0.314,0.279
"chol_corr[3, 39]",0.045,0.149,-0.247,0.313
"chol_corr[4, 0]",-0.006,0.144,-0.262,0.26
"chol_corr[4, 1]",-0.016,0.145,-0.273,0.257
"chol_corr[4, 2]",0.004,0.152,-0.263,0.288
"chol_corr[4, 3]",-0.007,0.154,-0.306,0.274
"chol_corr[4, 4]",1.0,0.0,1.0,1.0
"chol_corr[4, 5]",-0.101,0.155,-0.365,0.195
"chol_corr[4, 6]",0.055,0.151,-0.246,0.308
"chol_corr[4, 7]",-0.034,0.144,-0.316,0.222
"chol_corr[4, 8]",-0.025,0.149,-0.288,0.254
"chol_corr[4, 9]",0.073,0.173,-0.263,0.391
"chol_corr[4, 10]",-0.0,0.146,-0.291,0.252
"chol_corr[4, 11]",0.011,0.152,-0.256,0.302
"chol_corr[4, 12]",-0.02,0.157,-0.342,0.244
"chol_corr[4, 13]",0.029,0.155,-0.251,0.342
"chol_corr[4, 14]",0.031,0.149,-0.245,0.312
"chol_corr[4, 15]",0.005,0.151,-0.265,0.309
"chol_corr[4, 16]",-0.002,0.143,-0.268,0.268
"chol_corr[4, 17]",-0.024,0.14,-0.284,0.246
"chol_corr[4, 18]",-0.008,0.166,-0.326,0.306
"chol_corr[4, 19]",0.023,0.163,-0.257,0.317
"chol_corr[4, 20]",-0.001,0.157,-0.289,0.303
"chol_corr[4, 21]",-0.009,0.138,-0.285,0.237
"chol_corr[4, 22]",0.002,0.15,-0.27,0.295
"chol_corr[4, 23]",0.037,0.156,-0.236,0.35
"chol_corr[4, 24]",0.011,0.163,-0.317,0.293
"chol_corr[4, 25]",-0.021,0.143,-0.275,0.255
"chol_corr[4, 26]",0.024,0.162,-0.269,0.321
"chol_corr[4, 27]",0.026,0.149,-0.241,0.31
"chol_corr[4, 28]",-0.004,0.146,-0.289,0.276
"chol_corr[4, 29]",0.009,0.145,-0.251,0.287
"chol_corr[4, 30]",0.055,0.148,-0.237,0.318
"chol_corr[4, 31]",0.002,0.151,-0.289,0.276
"chol_corr[4, 32]",0.012,0.152,-0.27,0.299
"chol_corr[4, 33]",0.005,0.143,-0.262,0.262
"chol_corr[4, 34]",0.005,0.151,-0.292,0.276
"chol_corr[4, 35]",-0.016,0.153,-0.29,0.279
"chol_corr[4, 36]",-0.014,0.153,-0.287,0.266
"chol_corr[4, 37]",-0.027,0.157,-0.303,0.274
"chol_corr[4, 38]",0.014,0.156,-0.274,0.297
"chol_corr[4, 39]",0.044,0.146,-0.246,0.29
"chol_corr[5, 0]",-0.003,0.144,-0.26,0.259
"chol_corr[5, 1]",0.071,0.148,-0.191,0.345
"chol_corr[5, 2]",-0.133,0.156,-0.416,0.144
"chol_corr[5, 3]",0.013,0.141,-0.259,0.269
"chol_corr[5, 4]",-0.101,0.155,-0.365,0.195
"chol_corr[5, 5]",1.0,0.0,1.0,1.0
"chol_corr[5, 6]",-0.296,0.114,-0.513,-0.084
"chol_corr[5, 7]",0.07,0.139,-0.187,0.321
"chol_corr[5, 8]",-0.073,0.137,-0.311,0.2
"chol_corr[5, 9]",-0.21,0.13,-0.445,0.033
"chol_corr[5, 10]",-0.02,0.145,-0.303,0.255
"chol_corr[5, 11]",0.024,0.151,-0.251,0.291
"chol_corr[5, 12]",0.083,0.142,-0.206,0.335
"chol_corr[5, 13]",-0.017,0.147,-0.284,0.271
"chol_corr[5, 14]",-0.134,0.141,-0.388,0.132
"chol_corr[5, 15]",-0.137,0.133,-0.38,0.115
"chol_corr[5, 16]",0.004,0.14,-0.252,0.263
"chol_corr[5, 17]",-0.078,0.138,-0.312,0.198
"chol_corr[5, 18]",0.021,0.143,-0.244,0.279
"chol_corr[5, 19]",-0.069,0.134,-0.299,0.191
"chol_corr[5, 20]",0.003,0.157,-0.284,0.286
"chol_corr[5, 21]",-0.027,0.139,-0.274,0.235
"chol_corr[5, 22]",0.013,0.137,-0.251,0.272
"chol_corr[5, 23]",-0.069,0.145,-0.344,0.198
"chol_corr[5, 24]",0.008,0.15,-0.287,0.274
"chol_corr[5, 25]",-0.028,0.144,-0.284,0.252
"chol_corr[5, 26]",0.017,0.161,-0.278,0.334
"chol_corr[5, 27]",-0.196,0.136,-0.441,0.062
"chol_corr[5, 28]",0.042,0.152,-0.234,0.309
"chol_corr[5, 29]",-0.129,0.133,-0.4,0.097
"chol_corr[5, 30]",-0.134,0.127,-0.372,0.107
"chol_corr[5, 31]",-0.063,0.133,-0.33,0.16
"chol_corr[5, 32]",-0.056,0.138,-0.315,0.196
"chol_corr[5, 33]",0.081,0.141,-0.21,0.329
"chol_corr[5, 34]",0.009,0.152,-0.301,0.264
"chol_corr[5, 35]",0.069,0.149,-0.223,0.322
"chol_corr[5, 36]",0.008,0.146,-0.281,0.26
"chol_corr[5, 37]",0.119,0.131,-0.12,0.366
"chol_corr[5, 38]",0.004,0.145,-0.26,0.268
"chol_corr[5, 39]",-0.065,0.146,-0.333,0.224
"chol_corr[6, 0]",-0.049,0.168,-0.369,0.231
"chol_corr[6, 1]",-0.052,0.146,-0.325,0.219
"chol_corr[6, 2]",0.142,0.145,-0.12,0.41
"chol_corr[6, 3]",-0.065,0.143,-0.343,0.213
"chol_corr[6, 4]",0.055,0.151,-0.246,0.308
"chol_corr[6, 5]",-0.296,0.114,-0.513,-0.084
"chol_corr[6, 6]",1.0,0.0,1.0,1.0
"chol_corr[6, 7]",-0.207,0.143,-0.47,0.074
"chol_corr[6, 8]",0.051,0.141,-0.222,0.325
"chol_corr[6, 9]",0.328,0.136,0.079,0.588
"chol_corr[6, 10]",0.019,0.145,-0.257,0.285
"chol_corr[6, 11]",0.008,0.142,-0.244,0.288
"chol_corr[6, 12]",-0.052,0.122,-0.287,0.18
"chol_corr[6, 13]",0.024,0.145,-0.251,0.286
"chol_corr[6, 14]",0.188,0.125,-0.041,0.435
"chol_corr[6, 15]",0.129,0.129,-0.125,0.363
"chol_corr[6, 16]",-0.025,0.138,-0.275,0.246
"chol_corr[6, 17]",0.087,0.133,-0.164,0.323
"chol_corr[6, 18]",0.013,0.15,-0.263,0.273
"chol_corr[6, 19]",0.066,0.126,-0.183,0.289
"chol_corr[6, 20]",0.008,0.149,-0.275,0.272
"chol_corr[6, 21]",0.034,0.146,-0.23,0.312
"chol_corr[6, 22]",-0.043,0.145,-0.299,0.23
"chol_corr[6, 23]",0.164,0.137,-0.104,0.396
"chol_corr[6, 24]",0.023,0.146,-0.252,0.305
"chol_corr[6, 25]",-0.008,0.146,-0.285,0.246
"chol_corr[6, 26]",0.008,0.148,-0.292,0.258
"chol_corr[6, 27]",0.209,0.14,-0.031,0.48
"chol_corr[6, 28]",-0.05,0.14,-0.298,0.225
"chol_corr[6, 29]",0.176,0.139,-0.095,0.397
